,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
0,TCS,IT Services & Consulting ,3.8,73.8k Reviews,56 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1,Accenture,IT Services & Consulting ,4.0,46.8k Reviews,35 years old,"Company Culture, Skill Development / Learning, Job Security",
2,Cognizant,IT Services & Consulting ,3.9,42.2k Reviews,30 years old,Skill Development / Learning,Promotions / Appraisal
3,Wipro,IT Services & Consulting ,3.8,39.6k Reviews,79 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
4,Capgemini,IT Services & Consulting ,3.9,34.3k Reviews,57 years old,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
5,HDFC Bank,Banking ,4.0,34.3k Reviews,30 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
6,ICICI Bank,Banking ,4.0,33.8k Reviews,30 years old,"Job Security, Skill Development / Learning, Company Culture",
7,Infosys,IT Services & Consulting ,3.8,32.1k Reviews,43 years old,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
8,HCLTech,IT Services & Consulting ,3.7,28.9k Reviews,33 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra,IT Services & Consulting ,3.7,27.9k Reviews,38 years old,"Promotions / Appraisal, Salary & Benefits",
10,Genpact,IT Services & Consulting ,3.9,26.5k Reviews,27 years old,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
11,Axis Bank,Banking ,3.9,22.2k Reviews,31 years old,Job Security,
12,Teleperformance,BPO ,3.6,22.2k Reviews,46 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
13,Concentrix Corporation,BPO ,3.9,22k Reviews,41 years old,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
14,Jio,Telecom ,4.0,20.8k Reviews,17 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
15,Amazon,Internet ,4.1,20.7k Reviews,30 years old,"Company Culture, Salary & Benefits, Work Life Balance",
16,IBM,IT Services & Consulting ,4.1,19.9k Reviews,113 years old,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
17,Reliance Retail,Retail ,4.0,19k Reviews,18 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
18,HDB Financial Services,NBFC ,4.0,18.3k Reviews,17 years old,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
19,Larsen & Toubro Limited,Engineering & Construction ,4.1,16.8k Reviews,86 years old,"Job Security, Skill Development / Learning",
20,Vodafone Idea,Telecom ,4.2,15.5k Reviews,6 years old,"Company Culture, Work Life Balance, Salary & Benefits",
21,BYJU'S,EdTech ,3.1,14.7k Reviews,13 years old,"Job Security, Work Life Balance, Company Culture",
22,Kotak Mahindra Bank,Banking ,3.8,14.4k Reviews,21 years old,Job Security,Promotions / Appraisal
23,Deloitte,Management Consulting ,3.9,14k Reviews,179 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
24,Reliance Industries,Oil & Gas ,4.1,13.8k Reviews,47 years old,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
25,iEnergizer,BPO ,4.6,13.6k Reviews,24 years old,"Company Culture, Skill Development / Learning, Job Security",
26,Bharti Airtel,Telecom ,4.1,12.4k Reviews,29 years old,"Skill Development / Learning, Job Security, Company Culture",
27,Tata Motors,Automobile ,4.2,10.6k Reviews,79 years old,"Job Security, Skill Development / Learning, Company Culture",
28,WNS,BPO ,3.5,9.8k Reviews,28 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
29,Flipkart,Internet ,4.1,9.4k Reviews,17 years old,"Skill Development / Learning, Company Culture, Job Security",
30,IndusInd Bank,Banking ,3.7,9.3k Reviews,30 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
31,Ernst & Young,Management Consulting ,3.6,9k Reviews,22 years old,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
32,AU Small Finance Bank,Banking ,4.5,8.8k Reviews,28 years old,"Skill Development / Learning, Job Security, Company Culture",
33,Mahindra & Mahindra,Automobile ,4.2,8.8k Reviews,79 years old,"Job Security, Skill Development / Learning, Company Culture",
34,Infosys BPM,BPO ,3.8,8.4k Reviews,22 years old,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
35,DXC Technology,IT Services & Consulting ,3.8,8.4k Reviews,7 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
36,IDFC FIRST Bank,Banking ,4.0,8.3k Reviews,6 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
37,Conneqt Business Solutions,BPO ,3.7,7.9k Reviews,22 years old,"Promotions / Appraisal, Salary & Benefits",
38,LTIMindtree,IT Services & Consulting ,3.7,7.8k Reviews,25 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
39,HDFC Life,Insurance ,4.1,7.8k Reviews,24 years old,"Skill Development / Learning, Job Security, Company Culture",
40,Bajaj Finserv,Financial Services ,4.1,7.6k Reviews,17 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
41,Mphasis,IT Services & Consulting ,3.5,7.1k Reviews,26 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
42,PwC,Management Consulting ,3.6,7.1k Reviews,144 years old,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
43,HSBC Group,Banking ,4.1,6.8k Reviews,159 years old,"Job Security, Work Life Balance, Company Culture",
44,Startek,BPO ,3.3,6.8k Reviews,7 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
45,Hinduja Global Solutions,IT Services & Consulting ,4.0,6.8k Reviews,24 years old,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
46,Samsung,Consumer Electronics & Appliances ,4.1,6.7k Reviews,55 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
47,Ericsson,Telecom ,4.3,6.6k Reviews,148 years old,"Company Culture, Work Life Balance, Job Security",
48,Maruti Suzuki,Automobile ,4.3,6.6k Reviews,43 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
49,Shriram Finance,NBFC ,4.1,6.5k Reviews,45 years old,"Job Security, Skill Development / Learning, Work Life Balance",
50,Yes Bank,Banking ,3.9,6.4k Reviews,20 years old,"Salary & Benefits, Work Life Balance",
51,Asian Paints,Chemicals ,4.1,6.4k Reviews,82 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
52,Cipla,Pharma ,4.1,6.2k Reviews,89 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
53,Sutherland Global Services,IT Services & Consulting ,3.7,6k Reviews,38 years old,"Promotions / Appraisal, Salary & Benefits",
54,Dr. Reddy's,Pharma ,4.2,6k Reviews,40 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
55,Paytm,FinTech ,3.5,6k Reviews,14 years old,"Job Security, Promotions / Appraisal, Company Culture",
56,Bandhan Bank,Banking ,3.8,6k Reviews,23 years old,Job Security,"Promotions / Appraisal, Work Satisfaction"
57,UltraTech Cement,Building Material ,4.2,6k Reviews,41 years old,"Job Security, Skill Development / Learning, Company Culture",
58,EXL Service,Analytics & KPO ,3.8,5.9k Reviews,25 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
59,NTT DATA,IT Services & Consulting ,4.0,5.9k Reviews,36 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
60,ICICI Prudential Life Insurance,Insurance ,4.1,5.7k Reviews,24 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
61,Bajaj Finance,NBFC ,4.1,5.7k Reviews,37 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
62,Jana Small Finance Bank,Banking ,3.9,5.6k Reviews,18 years old,,
63,Lupin,Pharma ,4.1,5.5k Reviews,56 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
64,Indian Army,Defence & Aerospace ,4.7,5.5k Reviews,129 years old,"Job Security, Company Culture, Work Satisfaction",
65,HCL Group,IT Services & Consulting ,3.7,5.4k Reviews,48 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
66,Quess,BPO ,4.0,5.3k Reviews,17 years old,Work Life Balance,Promotions / Appraisal
67,Tata Steel,Iron & Steel ,4.2,5.3k Reviews,117 years old,"Job Security, Skill Development / Learning, Work Life Balance",
68,L&T Infotech,IT Services & Consulting ,3.8,5.3k Reviews,28 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
69,Wells Fargo,Financial Services ,4.1,5.3k Reviews,172 years old,"Job Security, Work Life Balance, Company Culture",
70,Zydus Lifesciences,Pharma ,4.1,5.2k Reviews,72 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
71,Delhivery,Logistics ,4.0,5.2k Reviews,13 years old,Skill Development / Learning,Promotions / Appraisal
72,Amazon Development Centre India,Internet ,4.2,5.2k Reviews,,"Company Culture, Work Life Balance, Salary & Benefits",
73,L&T Construction,Engineering & Construction ,4.1,5.1k Reviews,80 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
74,JPMorgan Chase & Co.,Financial Services ,4.1,5.1k Reviews,56 years old,"Job Security, Company Culture, Skill Development / Learning",
75,Sun Pharmaceutical Industries,Pharma ,4.2,5k Reviews,41 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
76,Hindustan Unilever,FMCG ,4.3,5k Reviews,152 years old,"Skill Development / Learning, Job Security, Company Culture",
77,FIS,FinTech ,3.9,5k Reviews,56 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
78,ITC,FMCG ,4.0,4.9k Reviews,114 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
79,Udaan,,4.0,4.8k Reviews,8 years old,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal"
80,Hexaware Technologies,IT Services & Consulting ,3.7,4.8k Reviews,34 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
81,IIFL Finance,NBFC ,4.0,4.8k Reviews,29 years old,Salary & Benefits,
82,JSW Steel,Iron & Steel ,4.0,4.8k Reviews,42 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
83,Ujjivan Small Finance Bank,Banking ,4.1,4.6k Reviews,7 years old,"Company Culture, Job Security, Skill Development / Learning",
84,Muthoot Finance,NBFC ,3.6,4.5k Reviews,85 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
85,Max Life Insurance,Insurance ,4.2,4.5k Reviews,24 years old,"Skill Development / Learning, Company Culture, Job Security",
86,Aurobindo Pharma,Pharma ,4.0,4.4k Reviews,38 years old,"Job Security, Salary & Benefits",
87,Tata Projects,Engineering & Construction ,4.3,4.4k Reviews,45 years old,"Job Security, Company Culture, Skill Development / Learning",
88,KPMG India,Management Consulting ,3.6,4.4k Reviews,37 years old,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
89,Shapoorji Pallonji Group,Engineering & Construction ,4.2,4.4k Reviews,159 years old,"Job Security, Skill Development / Learning, Company Culture",
90,Oracle,Software Product ,3.8,4.4k Reviews,47 years old,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
91,Home Credit Finance,Financial Services ,4.1,4.4k Reviews,12 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
92,eClerx,IT Services & Consulting ,3.5,4.3k Reviews,24 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
93,Apollo Hospitals,Healthcare ,4.1,4.3k Reviews,41 years old,"Job Security, Skill Development / Learning, Company Culture",
94,Ashok Leyland,Automobile ,4.1,4.3k Reviews,76 years old,"Skill Development / Learning, Work Satisfaction, Company Culture",
95,Siemens,Industrial Automation ,4.2,4.2k Reviews,177 years old,"Job Security, Company Culture, Work Life Balance",
96,Omega Healthcare,Healthcare ,3.8,4.2k Reviews,21 years old,"Promotions / Appraisal, Salary & Benefits",
97,JLL,Real Estate ,4.2,4.2k Reviews,25 years old,"Skill Development / Learning, Job Security, Company Culture",
98,Megha Engineering & Infrastructures,Engineering & Construction ,4.0,4.2k Reviews,35 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
99,Vivo,Consumer Electronics & Appliances ,4.1,4.2k Reviews,15 years old,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
100,First Source,BPO ,3.8,4.1k Reviews,23 years old,"Promotions / Appraisal, Salary & Benefits",
101,JustDial,Internet ,3.6,4.1k Reviews,28 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
102,Bajaj Allianz Life Insurance,Insurance ,4.1,4k Reviews,23 years old,"Salary & Benefits, Work Life Balance, Company Culture",
103,Hero MotoCorp,Automobile ,4.2,4k Reviews,40 years old,"Work Life Balance, Company Culture, Job Security",
104,OPPO,Consumer Electronics & Appliances ,4.0,4k Reviews,20 years old,Skill Development / Learning,Promotions / Appraisal
105,Mahindra Finance,NBFC ,4.3,4k Reviews,33 years old,"Job Security, Company Culture, Work Life Balance",
106,Standard Chartered,Banking ,3.9,3.9k Reviews,171 years old,Job Security,Promotions / Appraisal
107,DMart,Retail ,4.0,3.9k Reviews,22 years old,"Job Security, Company Culture",Promotions / Appraisal
108,Coforge,IT Services & Consulting ,3.5,3.9k Reviews,20 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
109,Cyient,IT Services & Consulting ,3.8,3.9k Reviews,33 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
110,BigBasket,Internet ,4.0,3.9k Reviews,13 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
111,ICICI Lombard General Insurance Company,Insurance ,3.8,3.9k Reviews,23 years old,Job Security,Promotions / Appraisal
112,Indiamart Intermesh,Internet ,3.6,3.9k Reviews,28 years old,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
113,CGI Group,IT Services & Consulting ,4.1,3.8k Reviews,48 years old,"Job Security, Work Life Balance, Company Culture",
114,Virtusa Consulting Services,IT Services & Consulting ,3.8,3.8k Reviews,28 years old,Promotions / Appraisal,
115,Equitas Small Finance Bank,Banking ,4.4,3.7k Reviews,17 years old,"Job Security, Company Culture, Work Life Balance",
116,TVS Motor,Automobile ,4.1,3.7k Reviews,45 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",
117,Manappuram Finance,NBFC ,4.0,3.7k Reviews,75 years old,"Skill Development / Learning, Promotions / Appraisal",
118,GlobalLogic,IT Services & Consulting ,3.7,3.7k Reviews,24 years old,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
119,Ekart Logistics,Logistics ,4.1,3.7k Reviews,15 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
120,UST,IT Services & Consulting ,3.9,3.6k Reviews,23 years old,"Work Life Balance, Company Culture",Promotions / Appraisal
121,SBI Cards & Payment Services,Financial Services ,3.8,3.6k Reviews,26 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
122,Hewlett Packard Enterprise,IT Services & Consulting ,4.3,3.6k Reviews,9 years old,"Company Culture, Work Life Balance, Job Security",
123,Atos Syntel,IT Services & Consulting ,3.6,3.6k Reviews,44 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
124,Bosch Global Software Technologies,IT Services & Consulting ,4.1,3.6k Reviews,27 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
125,IQVIA,Clinical Research ,4.1,3.6k Reviews,42 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
126,Nagarro,IT Services & Consulting ,4.1,3.6k Reviews,28 years old,"Company Culture, Work Life Balance, Salary & Benefits",
127,Cholamandalam Investment & Finance,NBFC ,4.1,3.6k Reviews,46 years old,"Salary & Benefits, Job Security, Skill Development / Learning",
128,SMFG India Credit,NBFC ,4.1,3.5k Reviews,17 years old,"Salary & Benefits, Job Security, Skill Development / Learning",
129,Bosch,Auto Components ,4.3,3.5k Reviews,138 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
130,Reliance Communications,Telecom ,4.0,3.5k Reviews,22 years old,Skill Development / Learning,Promotions / Appraisal
131,BNY Mellon,Investment Banking / Venture Capital / Private Equity ,4.0,3.5k Reviews,20 years old,"Company Culture, Work Life Balance, Salary & Benefits",
132,L&T Technology Services,IT Services & Consulting ,3.4,3.5k Reviews,12 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
133,Schneider Electric,Industrial Automation ,4.2,3.5k Reviews,25 years old,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
134,Hyundai Motor,Automobile ,4.4,3.5k Reviews,57 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
135,Amdocs,Software Product ,4.0,3.4k Reviews,42 years old,"Company Culture, Job Security, Salary & Benefits",
136,Oyo Rooms,Hospitality ,3.4,3.4k Reviews,11 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
137,CBRE,Real Estate ,4.3,3.4k Reviews,118 years old,"Skill Development / Learning, Job Security, Company Culture",
138,Swiggy,Internet ,3.9,3.4k Reviews,10 years old,"Job Security, Promotions / Appraisal",
139,State Bank of India,Banking ,3.9,3.4k Reviews,218 years old,Job Security,"Work Life Balance, Company Culture"
140,JBM Group,Auto Components ,4.0,3.4k Reviews,41 years old,"Job Security, Skill Development / Learning",
141,BT Group,Telecom ,4.1,3.3k Reviews,178 years old,"Job Security, Work Life Balance, Company Culture",
142,SBI Life Insurance Company,Insurance ,3.9,3.3k Reviews,23 years old,Job Security,Promotions / Appraisal
143,Optum,Healthcare ,4.0,3.3k Reviews,47 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
144,Ecom Express,Logistics ,4.1,3.3k Reviews,12 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
145,Nagarjuna Construction Company,Engineering & Construction ,4.2,3.3k Reviews,26 years old,"Job Security, Skill Development / Learning, Company Culture",
146,Dell,Consumer Electronics & Appliances ,4.2,3.3k Reviews,40 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
147,Bajaj Auto,Automobile ,3.9,3.3k Reviews,79 years old,Promotions / Appraisal,
148,KEC International,Engineering & Construction ,4.1,3.2k Reviews,79 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
149,Future Group,Retail ,4.3,3.2k Reviews,11 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
150,Piramal Capital Housing Finance,NBFC ,4.2,3.2k Reviews,4 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
151,Aditya Birla Fashion and Retail,Fashion & Textile ,4.2,3.2k Reviews,9 years old,"Job Security, Skill Development / Learning, Company Culture",
152,Muthoot Fincorp,NBFC ,4.1,3.2k Reviews,137 years old,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
153,Royal Enfield,Automobile ,4.3,3.1k Reviews,123 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
154,L&T Finance,NBFC ,4.0,3.1k Reviews,30 years old,"Salary & Benefits, Skill Development / Learning",
155,Viatris,Pharma ,4.3,3k Reviews,4 years old,"Salary & Benefits, Job Security, Work Life Balance",
156,Tata Communications,Telecom ,4.2,3k Reviews,38 years old,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
157,Samvardhana Motherson Group,Auto Components ,3.8,3k Reviews,38 years old,Job Security,
158,Intas Pharmaceuticals,Pharma ,4.2,3k Reviews,47 years old,"Job Security, Salary & Benefits, Work Life Balance",
159,LG Electronics,Consumer Electronics & Appliances ,4.1,3k Reviews,66 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
160,Varun Beverages,Beverage ,4.1,3k Reviews,29 years old,"Job Security, Salary & Benefits",Promotions / Appraisal
161,John Deere,Industrial Machinery ,4.3,3k Reviews,23 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
162,Kogta Financial India Limited,NBFC ,4.8,3k Reviews,28 years old,"Company Culture, Work Life Balance, Work Satisfaction",
163,Persistent Systems,IT Services & Consulting ,3.8,3k Reviews,34 years old,Company Culture,Promotions / Appraisal
164,Godrej & Boyce Manufacturing,Engineering & Construction ,3.9,2.9k Reviews,127 years old,Job Security,Promotions / Appraisal
165,Randstad,Recruitment ,3.9,2.9k Reviews,32 years old,"Promotions / Appraisal, Job Security",
166,Thermax Limited,Industrial Machinery ,4.2,2.9k Reviews,58 years old,"Job Security, Company Culture, Skill Development / Learning",
167,Hetero Drugs,Pharma ,3.9,2.9k Reviews,31 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
168,Deutsche Bank,Banking ,4.1,2.9k Reviews,154 years old,"Job Security, Work Life Balance, Company Culture",
169,Macleods Pharmaceuticals,Pharma ,3.8,2.9k Reviews,38 years old,Job Security,Promotions / Appraisal
170,Havells,Electrical Equipment ,4.1,2.9k Reviews,41 years old,"Work Life Balance, Salary & Benefits, Company Culture",
171,CARS24,Internet ,3.7,2.9k Reviews,9 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
172,Team Lease,Recruitment ,4.0,2.8k Reviews,8 years old,Promotions / Appraisal,
173,Sodexo,Facility Management Services ,4.1,2.8k Reviews,16 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
174,Subros,Auto Components ,4.0,2.8k Reviews,39 years old,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
175,Abbott,Pharma ,4.1,2.8k Reviews,136 years old,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal
176,VE Commercial Vehicles,Automobile ,4.1,2.8k Reviews,16 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
177,Indian Oil Corporation,Oil & Gas ,4.5,2.8k Reviews,65 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
178,Whitehat jr,EdTech ,3.5,2.8k Reviews,6 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
179,Ford Motor,Automobile ,4.5,2.8k Reviews,121 years old,"Company Culture, Work Life Balance, Salary & Benefits",
180,Tata Capital,NBFC ,4.2,2.8k Reviews,17 years old,"Job Security, Company Culture, Skill Development / Learning",
181,Automatic Data Processing (ADP),Software Product ,4.1,2.8k Reviews,75 years old,"Job Security, Company Culture, Work Life Balance",
182,Bharat Electronics,Electronics Manufacturing ,4.2,2.7k Reviews,70 years old,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
183,Cummins,Industrial Machinery ,4.4,2.7k Reviews,105 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
184,Access Healthcare,IT Services & Consulting ,4.0,2.7k Reviews,13 years old,"Job Security, Company Culture",
185,ITC Infotech,IT Services & Consulting ,3.7,2.7k Reviews,24 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
186,R1 RCM,Healthcare ,4.0,2.7k Reviews,17 years old,"Job Security, Company Culture, Work Life Balance",
187,American Express,Financial Services ,4.3,2.7k Reviews,174 years old,"Company Culture, Work Life Balance, Salary & Benefits",
188,Alembic Pharmaceuticals,Pharma ,4.0,2.7k Reviews,117 years old,"Salary & Benefits, Work Life Balance",
189,Pidilite Industries,Chemicals ,4.4,2.7k Reviews,65 years old,"Job Security, Company Culture, Work Life Balance",
190,Tata AIA Life Insurance,Insurance ,4.1,2.7k Reviews,23 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
191,UnitedHealth,Healthcare ,4.1,2.7k Reviews,47 years old,"Job Security, Work Life Balance, Company Culture",
192,Hindalco Industries,Metals & Mining ,4.3,2.7k Reviews,66 years old,"Job Security, Skill Development / Learning, Company Culture",
193,Alkem Laboratories,Pharma ,4.0,2.6k Reviews,51 years old,,
194,Aakash Educational Services,EdTech ,3.6,2.6k Reviews,36 years old,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",
195,Publicis Sapient,IT Services & Consulting ,3.6,2.6k Reviews,34 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
196,Atos,IT Services & Consulting ,3.8,2.6k Reviews,27 years old,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
197,DCB Bank,Banking ,3.9,2.6k Reviews,94 years old,"Job Security, Work Life Balance, Company Culture",
198,Utkarsh Small Finance Bank,Banking ,4.0,2.6k Reviews,15 years old,Job Security,
199,Hindustan Coca Cola Beverages,Beverage ,4.3,2.6k Reviews,27 years old,"Skill Development / Learning, Job Security, Salary & Benefits",
200,Indian Air Force,Defence & Aerospace ,4.7,2.6k Reviews,92 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
201,Vishal Mega Mart,Retail ,3.9,2.6k Reviews,16 years old,Salary & Benefits,"Company Culture, Work Satisfaction, Job Security"
202,Barclays,Banking ,4.0,2.6k Reviews,334 years old,"Job Security, Company Culture, Work Life Balance",
203,Berger Paints,Chemicals ,3.8,2.6k Reviews,101 years old,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
204,Glenmark Pharmaceuticals,Pharma ,4.0,2.6k Reviews,47 years old,"Skill Development / Learning, Job Security, Salary & Benefits",
205,Marpu Foundation,Non-Profit ,4.9,2.5k Reviews,8 years old,"Company Culture, Work Satisfaction, Skill Development / Learning",
206,Ipca Laboratories,Pharma ,4.0,2.5k Reviews,75 years old,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
207,Jindal Steel and Power,Iron & Steel ,4.0,2.5k Reviews,45 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
208,Bank of America,Banking ,4.4,2.5k Reviews,26 years old,"Job Security, Work Life Balance, Company Culture",
209,DTDC Express,Logistics ,3.8,2.5k Reviews,34 years old,"Promotions / Appraisal, Salary & Benefits",
210,Maersk,Logistics ,4.3,2.5k Reviews,120 years old,"Company Culture, Work Life Balance, Job Security",
211,ABB Group,Industrial Automation ,4.1,2.5k Reviews,36 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
212,24/7 Customer,BPO ,3.6,2.5k Reviews,24 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
213,Aarti Industries,Agro Chemicals ,4.2,2.5k Reviews,49 years old,"Job Security, Work Life Balance, Skill Development / Learning",
214,Honda Motorcycle & Scooter,Automobile ,4.2,2.5k Reviews,23 years old,"Job Security, Company Culture, Work Life Balance",
215,Wipro Infotech,IT Services & Consulting ,4.0,2.5k Reviews,79 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
216,Carelon Global Solutions,IT Services & Consulting ,4.0,2.5k Reviews,,"Job Security, Salary & Benefits, Company Culture",
217,Johnson Controls,Industrial Automation ,3.7,2.5k Reviews,139 years old,"Promotions / Appraisal, Work Satisfaction",
218,HDFC Ergo General Insurance,Insurance ,4.1,2.5k Reviews,22 years old,"Job Security, Company Culture, Work Life Balance",
219,NatWest Group,Banking ,4.0,2.5k Reviews,,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
220,PolicyBazaar,Internet ,3.5,2.5k Reviews,16 years old,"Work Life Balance, Promotions / Appraisal, Company Culture",
221,MRF Tyres,Auto Components ,3.8,2.5k Reviews,78 years old,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
222,CMS IT Services,IT Services & Consulting ,3.2,2.5k Reviews,10 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
223,Cogent E Services,BPO ,3.4,2.5k Reviews,20 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
224,RBL Bank,Banking ,3.8,2.5k Reviews,81 years old,Promotions / Appraisal,
225,Paras Hospital,Healthcare ,4.6,2.5k Reviews,18 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
226,Reliance Nippon Life Insurance,Insurance ,3.9,2.5k Reviews,24 years old,,
227,Reliance Digital,Retail ,4.2,2.4k Reviews,17 years old,"Job Security, Skill Development / Learning, Company Culture",
